lakeid,sta,sampledate,andate,coreid,top_bottom,species_name,head_size,head_size_units_to_mm,,
myv,33,2013-06-08,2013-06-09,1,0,tp,20,55,,
myv,33,2013-06-08,2013-06-09,1,1,tt,19,55,,
myv,33,2013-06-08,2013-06-09,1,1,tt,19.5,55,,
myv,33,2013-06-08,2013-06-09,1,1,ch,18,55,,
myv,33,2013-06-08,2013-06-09,1,1,ch,14,55,,
myv,33,2013-06-08,2013-06-09,1,1,tp,15,55,,
myv,33,2013-06-08,2013-06-09,2,0,tt,15.5,55,,
myv,33,2013-06-08,2013-06-09,2,0,tt,15,55,,
myv,33,2013-06-08,2013-06-09,2,0,ch,22,55,,
myv,33,2013-06-08,2013-06-09,2,0,tp,13,55,,
myv,33,2013-06-08,2013-06-09,2,0,tp,13,55,,
myv,33,2013-06-08,2013-06-09,2,0,tp,7,55,,
myv,33,2013-06-08,2013-06-09,2,1,tt,14,55,,
myv,33,2013-06-08,2013-06-09,2,1,tp,13,55,,
myv,33,2013-06-08,2013-06-09,2,1,tp,25,55,,
myv,33,2013-06-08,2013-06-09,2,1,tp,18,55,,
myv,33,2013-06-08,2013-06-09,3,0,tt,14,55,,
myv,33,2013-06-08,2013-06-09,3,0,tt,14.5,55,,
myv,33,2013-06-08,2013-06-09,3,0,tp,13.5,55,,
myv,33,2013-06-08,2013-06-09,3,0,tp,13,55,,
myv,33,2013-06-08,2013-06-09,3,0,tp,7,55,,
myv,33,2013-06-08,2013-06-09,3,0,tp,6,55,,
myv,33,2013-06-08,2013-06-09,3,1,ch,25,55,,
myv,33,2013-06-08,2013-06-09,3,1,ch,27,55,,
myv,33,2013-06-08,2013-06-09,3,1,tp,14,55,,
myv,33,2013-06-08,2013-06-09,4,0,tt,14.5,55,,
myv,33,2013-06-08,2013-06-09,4,0,tp,16.5,55,,
myv,33,2013-06-08,2013-06-09,4,0,tp,17,55,,
myv,33,2013-06-08,2013-06-09,4,0,tp,24,55,,
myv,33,2013-06-08,2013-06-09,4,0,tp,7.5,55,,
myv,33,2013-06-08,2013-06-09,4,1,tp,10,55,,
myv,33,2013-06-08,2013-06-09,4,1,tp,20,55,,
myv,33,2013-06-08,2013-06-09,4,1,tp,19,55,,
myv,33,2013-06-08,2013-06-09,4,1,tp,27,55,,
