algae_conc2,coreid,day,live_tt,wt,Bt,chl,midge,gpp
0.0078125,1,14,8,0.031241334240350787,0.2499306739228063,789.3059999999996,Midges,0.00547081171672385
0.0078125,2,14,NA,NA,NA,NA,No Midges,0.01401633888225975
0.0078125,2,22,0,NA,0,789.3059999999996,No Midges,0.02792567352714943
0.5,3,14,13,0.03382483980653523,0.439722917484958,4788.392,Midges,0.0189874379143029
0.5,4,14,NA,NA,NA,NA,No Midges,0.0254447973657548
0.5,4,22,0,NA,0,4788.392,No Midges,0.03361912987267751
0.03125,5,14,NA,NA,NA,NA,No Midges,0.015094051744827915
0.03125,5,22,1,0.039829585514321635,0.039829585514321635,1106.8428000000001,No Midges,0.04217451987870621
0.03125,6,14,6,0.026715293338106943,0.16029176002864165,1106.8428000000001,Midges,0.007700533376644479
0.125,7,14,8,0.02914741158172831,0.23317929265382648,1775.648,Midges,0.014934082276631807
0.03125,8,14,NA,NA,NA,NA,No Midges,0.015588864075613572
0.03125,8,22,1,0.036889846832370426,0.036889846832370426,1106.8428000000001,No Midges,0.02006887979711647
0.002,9,14,NA,NA,NA,NA,No Midges,0.006132383657107285
0.002,9,22,0,NA,0,805.9799999999996,No Midges,0.0561474148901697
0.25,10,14,NA,NA,NA,NA,No Midges,0.018358870326385727
0.25,10,22,3,0.0528276108172349,0.1584828324517047,3170.608,No Midges,0.03010282010997644
0.0078125,11,14,NA,NA,NA,NA,Midges,0.008438470096350105
0.0078125,11,22,10,0.03236278227984731,0.32362782279847313,789.3059999999996,Midges,0.012308289939045928
0.5,12,14,NA,NA,NA,NA,No Midges,0.009925899635005068
0.5,12,22,0,NA,0,4788.392,No Midges,0.021058248011725678
0.00390625,13,14,NA,NA,NA,NA,Midges,0.005987132615169673
0.00390625,13,22,12,0.03514841106900432,0.42178093282805185,595.6929999999999,Midges,0.0135664414048183
0.0625,14,14,NA,NA,NA,NA,Midges,0.008986383528735644
0.0625,14,22,14,0.034208092134181904,0.47891328987854664,1451.340799999999,Midges,0.01989745924061714
0.002,15,14,0,NA,0,805.9799999999996,No Midges,0.008854065241965876
0.125,16,14,NA,NA,NA,NA,No Midges,0.007019548920012987
0.125,16,22,2,0.038359716173346034,0.07671943234669207,1775.648,No Midges,0.008222707409503741
0.00390625,17,14,NA,NA,NA,NA,No Midges,0.011048399986486943
0.00390625,17,22,2,0.016581995068039715,0.03316399013607943,595.6929999999999,No Midges,0.025799654320617437
0.015625,18,14,NA,NA,NA,NA,Midges,0.008119422417837743
0.015625,18,22,14,0.03224967174193593,0.451495404387103,831.1240000000001,Midges,0.011874430581304723
0.002,19,14,NA,NA,NA,NA,Midges,0.0053177783212488335
0.002,19,22,14,0.03929125290113545,0.5500775406158963,805.9799999999996,Midges,0.014473733306308134
0.125,20,14,NA,NA,NA,NA,Midges,0.005934307692307683
0.125,20,22,14,0.038508281919961765,0.5391159468794647,1775.648,Midges,0.014254264351507796
0.002,21,14,NA,NA,NA,NA,Midges,0.005489638619445061
0.002,21,22,8,0.027960890786169795,0.22368712628935836,805.9799999999996,Midges,0.012072930885857732
0.03125,22,14,0,NA,0,1106.8428000000001,No Midges,0.012381796833730852
0.0078125,23,14,0,NA,0,789.3059999999996,No Midges,0.011215134393779285
1,24,14,NA,NA,NA,NA,Midges,0.026845880948319974
1,24,22,10,0.053348029927696994,0.5334802992769699,11233.152,Midges,0.01754403267567415
0.125,25,14,17,0.03195042294201725,0.5431571900142932,1775.648,Midges,0.012196868918315729
0.125,26,14,NA,NA,NA,NA,Midges,0.012756723106680553
0.125,26,22,7,0.03145107497697257,0.22015752483880796,1775.648,Midges,0.007291773091773097
0.5,27,14,11,0.0425810895501193,0.4683919850513123,4788.392,Midges,0.018580475680426256
0.0625,28,14,NA,NA,NA,NA,Midges,0.015383844442613492
0.0625,28,22,18,0.040478468557701215,0.7286124340386219,1451.340799999999,Midges,0.004267971725527788
0.25,29,14,0,NA,0,3170.608,No Midges,0.016678361918782966
1,30,14,NA,NA,NA,NA,No Midges,0.0317694049308356
1,30,22,2,0.12028222516358988,0.24056445032717977,11233.152,No Midges,0.029711154075494198
0.0625,31,14,1,0.03145152158322989,0.03145152158322989,1451.340799999999,No Midges,0.008964117730818616
0.002,32,14,8,0.025286604393811522,0.20229283515049218,805.9799999999996,Midges,0.012045237470418437
0.125,33,14,0,NA,0,1775.648,No Midges,0.005429199202318271
0.0078125,34,14,16,0.02472140767510016,0.39554252280160257,789.3059999999996,Midges,0.007903470034462779
0.00390625,35,14,NA,NA,NA,NA,Midges,0.006893455331246591
0.00390625,35,22,11,0.040451519422697216,0.4449667136496694,595.6929999999999,Midges,0.007274685300395076
0.00390625,36,14,9,0.03038644609579069,0.2734780148621162,595.6929999999999,Midges,0.0068416335209505914
1,37,14,NA,NA,NA,NA,Midges,0.02204185554495796
1,37,22,13,NA,NA,11233.152,Midges,0.022218451749734892
0.00390625,38,14,1,0.016964323480885116,0.016964323480885116,595.6929999999999,No Midges,0.00853625415174913
0.002,39,14,NA,NA,NA,NA,No Midges,0.012715099264426537
0.002,39,22,2,0.03850996677611419,0.07701993355222839,805.9799999999996,No Midges,0.031771669413971464
0.5,40,14,NA,NA,NA,NA,Midges,0.029529149610893923
0.5,40,22,15,0.050709202026505196,0.7606380303975779,4788.392,Midges,0.03505162288477035
1,41,14,13,0.049055361289028786,0.6377196967573742,11233.152,Midges,0.017334796541330882
0.015625,42,14,NA,NA,NA,NA,Midges,0.01176783368013816
0.015625,42,22,12,0.038587496527114934,0.4630499583253792,831.1240000000001,Midges,0.015608441579371468
1,43,14,NA,NA,NA,NA,No Midges,0.028989641168587515
1,43,22,4,0.02395438268738476,0.09581753074953904,11233.152,No Midges,0.039489354380905395
0.015625,44,14,NA,NA,NA,NA,No Midges,0.009994240475666149
0.015625,44,22,0,NA,0,831.1240000000001,No Midges,0.018164139827628545
0.125,45,14,NA,NA,NA,NA,No Midges,0.016378702650792287
0.125,45,22,3,0.025742782792281572,0.07722834837684472,1775.648,No Midges,0.02404852621839429
0.03125,46,14,NA,NA,NA,NA,Midges,0.009516498229803666
0.03125,46,22,10,0.03277367270803797,0.3277367270803797,1106.8428000000001,Midges,0.012564150522249243
0.03125,47,14,NA,NA,NA,NA,Midges,0.011011868051711223
