sampledate,andate,read42,read230,falc_id,vol_sample,vol_met,extracted_vol,vol_met_dilu,met_time,reading_pre,reading_post,uncorchl_ugl,pheo_ugl,chl_ugl,comments
2017-07-04,2017-07-09,24.17,164.6,101,0.5,20.0,0.500,3.500,23.08333333,153.00,90.85,50184.00,30692.76,19491.24,
2017-07-04,2017-07-09,24.17,164.6,102,0.5,20.0,0.500,3.500,23.93333333,152.9,91.13,50151.20,30787.36,19363.84,
2017-07-04,2017-07-09,24.17,164.6,103,0.5,20.0,0.500,3.500,23.93333333,177.9,106.6,58351.20,36013.74,22337.46,
2017-07-04,2017-07-09,24.17,164.6,104,0.5,20.0,0.500,3.500,23.93333333,198.3,118,65042.40,39865.12,25177.28,
2017-07-04,2017-07-09,24.17,164.6,105,0.5,20.0,0.500,3.500,23.93333333,162.1,97.26,53168.80,32858.32,20310.48,
2017-07-12,2017-07-15,24.63,164.9,106,0.5,20.0,0.500,3.500,23.71666667,120.8,72.8,39622.40,24594.75,15027.65,
2017-07-12,2017-07-15,24.63,164.9,107,0.5,20.0,0.500,3.500,23.71666667,121.8,73.95,39950.40,24983.27,14967.13,
2017-07-12,2017-07-15,24.63,164.9,108,0.5,20.0,0.500,3.500,23.71666667,166.1,101.2,54480.80,34189.41,20291.39,
2017-07-12,2017-07-15,24.63,164.9,109,0.5,20.0,0.500,3.500,23.71666667,123.5,75.26,40508.00,25425.84,15082.16,
2017-07-12,2017-07-15,24.63,164.9,110,0.5,20.0,0.500,3.500,23.71666667,131.6,79.58,43164.80,26885.31,16279.49,
2017-07-23,2017-07-29,24.11,159.3,111,0.5,20.0,1.000,3.000,25.5,175.3,103.5,28749.20,17483.22,11265.98,
2017-07-23,2017-07-29,24.11,159.3,112,0.5,20.0,1.000,3.000,25.5,106.8,63.62,17515.20,10746.69,6768.51,
2017-07-23,2017-07-29,24.11,159.3,113,0.5,20.0,1.000,3.000,25.5,150.1,91.25,24616.40,15413.95,9202.45,
2017-07-23,2017-07-29,24.11,159.3,114,0.5,20.0,1.000,3.000,25.5,176.9,106.6,29011.60,18006.87,11004.73,
2017-07-23,2017-07-29,24.11,159.3,115,0.5,20.0,1.000,3.000,25.5,141.4,84.43,23189.60,14261.92,8927.68,
2017-07-14,2017-07-21,24.32,163.75,5,0.25,20.0,1.000,3.000,25.78333333,144.50,93.50,46818.00,31202.82,15615.18,
2017-07-14,2017-07-21,24.32,163.75,7,0.25,20.0,1.000,3.000,25.78333333,191.7,123.5,62110.80,41214.42,20896.38,
2017-07-14,2017-07-21,24.32,163.75,8,0.25,20.0,1.000,3.000,25.78333333,149.2,98.56,48340.80,32891.44,15449.36,
2017-07-14,2017-07-21,24.32,163.75,11,0.25,20.0,1.000,3.000,25.78333333,127.4,83.94,41277.60,28012.46,13265.14,
2017-07-14,2017-07-21,24.32,163.75,17,0.25,20.0,1.000,3.000,25.78333333,81.72,54.33,26477.28,18131.01,8346.27,
2017-07-14,2017-07-21,24.32,163.75,18,0.25,20.0,1.000,3.000,25.78333333,101.6,66.46,32918.40,22179.03,10739.37,
2017-07-14,2017-07-21,24.32,163.75,20,0.25,20.0,1.000,3.000,25.78333333,203.9,129.3,66063.60,43150.00,22913.60,
2017-07-14,2017-07-21,24.32,163.75,22,0.25,20.0,1.000,3.000,25.78333333,172.3,110.8,55825.20,36976.18,18849.02,
2017-07-14,2017-07-21,24.32,163.75,27,0.25,20.0,1.000,3.000,25.78333333,90.23,58.82,29234.52,19629.41,9605.11,
2017-07-14,2017-07-21,24.32,163.75,30,0.25,20.0,1.000,3.000,25.78333333,181.2,119.4,58708.80,39846.17,18862.63,
2017-07-14,2017-07-21,24.32,163.75,31,0.25,20.0,1.000,3.000,25.78333333,146.2,93.18,47368.80,31096.03,16272.77,
2017-07-14,2017-07-21,24.32,163.75,33,0.25,20.0,1.000,3.000,25.78333333,112.6,71.01,36482.40,23697.46,12784.94,
2017-07-14,2017-07-21,24.32,163.75,47,0.25,20.0,1.000,3.000,25.78333333,152.8,97.18,49507.20,32430.91,17076.29,
2017-07-14,2017-07-21,24.32,163.75,53,0.25,20.0,1.000,3.000,25.78333333,175.1,115.2,56732.40,38444.54,18287.86,
2017-07-14,2017-07-21,24.32,163.75,54,0.25,20.0,1.000,3.000,25.78333333,145.2,92.73,47044.80,30945.86,16098.94,
2017-07-14,2017-07-21,24.32,163.75,56,0.25,20.0,1.000,3.000,25.78333333,240.5,150.2,77922.00,50124.74,27797.26,
2017-07-14,2017-07-21,24.32,163.75,58,0.25,20.0,1.000,3.000,25.78333333,207.1,131.5,67100.40,43884.18,23216.22,
2017-07-14,2017-07-21,24.32,163.75,63,0.25,20.0,1.000,3.000,25.78333333,150.1,98.74,48632.40,32951.51,15680.89,
2017-07-14,2017-07-21,24.32,163.75,66,0.25,20.0,1.000,3.000,25.78333333,199,129.3,64476.00,43150.00,21326.00,
2017-07-14,2017-07-21,24.32,163.75,67,0.25,20.0,1.000,3.000,25.78333333,199.4,128.7,64605.60,42949.76,21655.84,
2017-07-14,2017-07-21,24.32,163.75,69,0.25,20.0,1.000,3.000,25.78333333,184.3,117.7,59713.20,39278.84,20434.36,
2017-08-06,2017-08-09,22.685,158,1,0.5,20.0,3.000,1.000,24.5,185.20,121.00,10124.27,6813.11,3311.16,
2017-08-06,2017-08-09,22.685,158,2,0.5,20.0,3.000,1.000,24.5,237,151.7,12956.00,8541.72,4414.28,
2017-08-06,2017-08-09,22.685,158,3,0.5,20.0,3.000,1.000,24.5,179.9,120.7,9834.53,6796.21,3038.32,
2017-08-06,2017-08-09,22.685,158,4,0.5,20.0,3.000,1.000,24.5,228.8,145.5,12507.73,8192.62,4315.11,
2017-08-06,2017-08-09,22.685,158,6,0.5,20.0,3.000,1.000,24.5,215.4,140.9,11775.20,7933.61,3841.59,
2017-08-06,2017-08-09,22.685,158,7,0.5,20.0,3.000,1.000,24.5,201.7,131.1,11026.27,7381.80,3644.46,
