sampledate,falc_id,tray_weight,vol,ww_tray,dw_tray,comb_tray,ww,dw,comb,org,percentorg,comments
2017-07-04,101,1031.8,1,2002.8,1086.2,1069.2,971,54.4,37.4,17,31.25,
2017-07-04,102,1043.8,1,2013,1097.3,1088.6,969.2,53.5,44.8,8.7,16.26168224,
2017-07-04,103,1066.8,1,2030.1,1104.5,1096.2,963.3,37.7,29.4,8.3,22.01591512,
2017-07-04,104,1042.8,1,2029,1102.8,1088.9,986.2,60,46.1,13.9,23.16666667,
2017-07-04,105,1036.7,1,2024.6,1097.6,1081.7,987.9,60.9,45,15.9,26.10837438,
2017-07-12,106,1154.6,1,2148.7,1208.8,1195.3,994.1,54.2,40.7,13.5,24.90774908,
2017-07-12,107,1151,1,2114,1205.4,1195,963,54.4,44,10.4,19.11764706,
2017-07-12,108,1152.4,1,2110.5,1210.4,1198.5,958.1,58,46.1,11.9,20.51724138,
2017-07-12,109,1158.3,1,2095.1,1205.8,1194.7,936.8,47.5,36.4,11.1,23.36842105,
2017-07-12,110,1139.5,1,2086.3,1192.8,1181.9,946.8,53.3,42.4,10.9,20.45028143,
2017-07-23,111,1043.4,1,2085.2,1073.1,1067.5,1041.8,29.7,24.1,5.6,18.85521886,
2017-07-23,112,1037.8,1,2087.2,1055.1,1052.8,1049.4,17.3,15,2.3,13.29479769,
2017-07-23,113,1032,1,2080.4,1059.7,1053.5,1048.4,27.7,21.5,6.2,22.38267148,
2017-07-23,114,1052,1,2076.6,1086.7,1081.4,1024.6,34.7,29.4,5.3,15.27377522,
2017-07-23,115,1016,1,2050.3,1036,1032.6,1034.3,20,16.6,3.4,17.0000000,
2017-07-14,5,1168,1,12948,1197,1192,11780,29,24,5,17.24137931,
2017-07-14,7,1155.1,1,6551.8,1174,1169.3,5396.7,18.9,14.2,4.7,24.86772487,
2017-07-14,8,1153.7,1,17221.3,1190.9,1185.2,16067.6,37.2,31.5,5.7,15.32258065,
2017-07-14,11,1157.2,1,12768.7,1196.2,1187.9,11611.5,39,30.7,8.3,21.28205128,
2017-07-14,17,1152.4,1,16622.6,1199.7,1191.2,15470.2,47.3,38.8,8.5,17.97040169,
