coreid,dark_light,date_start,time_start,barom_pres_init,wtemp_init,o2sat_init,do_init,probe_init,water_added_init,column_vol,date_end,time_end,barom_pres_final,wtemp_final,o2sat_final,do_final,probe_final,water_added_final,flag,comments
0,light,2020-08-18,10:19,738.6,18.1,101.3,9.3,Harry,"NA",40,2020-08-19,9:41,741.0,18.100000000000001,101.1,9.31,Harry,"NA",NA,water used to fill the tubes prior to light (init) and dark (end) incubations
1,light,2020-08-18,10:22,738.6,12.7,97.8,10.06,Hermione,5,40,2020-08-19,9:47,741.0,16.100000000000001,87.3,8.36,Hermione,7,NA,NA
2,light,2020-08-18,10:23,738.6,12.3,97.9,10.19,Harry,9,40,2020-08-19,9:50,741.0,16.2,114.9,11.02,Harry,10,NA,NA
3,light,2020-08-18,10:28,738.6,12.6,102,10.51,Hermione,8,40,2020-08-19,9:54,741.0,16.2,122.9,11.78,Hermione,8,NA,NA
4,light,2020-08-18,10:29,738.6,12.4,126.7,13.16,Harry,10,40,2020-08-19,9:59,741.0,16.3,148.4,14.2,Harry,9,NA,NA
5,light,2020-08-18,10:32,738.6,12.6,104.8,10.83,Hermione,7,40,2020-08-19,10:03,741.0,16.7,120.2,11.39,Hermione,8,NA,NA
6,light,2020-08-18,10:33,738.6,12.2,96.6,10.07,Harry,8,40,2020-08-19,10:03,741.0,16.7,93.7,8.8800000000000008,Harry,10,NA,NA
7,light,2020-08-18,10:36,738.6,12.3,96.3,10.01,Hermione,7,40,2020-08-19,10:09,741.0,16.600000000000001,104.5,9.9,Hermione,9,NA,NA
8,light,2020-08-18,10:37,738.6,12.1,107.2,11.21,Harry,11,40,2020-08-19,10:09,741.0,16.8,122.2,11.56,Harry,10,NA,NA
9,light,2020-08-18,10:41,738.6,12.4,95.1,9.85,Hermione,9,40,2020-08-19,10:16,741.0,16.899999999999999,91.8,8.66,Hermione,8,NA,NA
10,light,2020-08-18,10:42,738.6,12.5,118.2,12.25,Harry,9,40,2020-08-19,10:16,741.0,16.899999999999999,130.1,12.29,Harry,9,NA,NA
11,light,2020-08-18,10:46,738.6,12.7,96.4,9.91,Hermione,7,40,2020-08-19,10:21,741.0,16.7,93.5,8.86,Hermione,9,NA,NA
12,light,2020-08-18,10:47,738.6,12.5,104.7,10.85,Harry,8,40,2020-08-19,10:21,741.0,16.399999999999999,107,10.18,Harry,8,NA,NA
13,light,2020-08-18,10:51,738.6,12.7,93.2,9.6,Hermione,8,40,2020-08-19,10:27,741.0,16.8,86.6,8.19,Hermione,7,NA,NA
14,light,2020-08-18,10:51,738.6,12.6,100.8,10.42,Harry,9,40,2020-08-19,10:28,741.0,16.7,93.8,8.8699999999999992,Harry,9,NA,NA
15,light,2020-08-18,10:56,738.6,13,98.3,10.03,Hermione,8,40,2020-08-19,10:45,741.0,16.7,94.5,8.9499999999999993,Hermione,8,NA,NA
16,light,2020-08-18,10:56,738.6,13.2,98.7,10.06,Harry,8,40,2020-08-19,10:45,741.0,16.100000000000001,88.8,8.52,Harry,9,NA,NA
17,light,2020-08-18,11:01,738.6,13.3,95.3,9.69,Hermione,8,40,2020-08-19,10:51,741.0,15.6,99.1,9.61,Hermione,9,NA,NA
18,light,2020-08-18,11:02,738.6,12.8,100.3,10.32,Harry,9,40,2020-08-19,10:52,741.0,16.399999999999999,95.3,9.11,Harry,9,NA,NA
19,light,2020-08-18,15:39,738.6,15.8,96.3,9.27,Hermione,7,40,2020-08-19,10:56,741.0,15.7,84.9,8.2200000000000006,Hermione,8,NA,NA
20,light,2020-08-18,11:07,738.6,13.5,107.7,10.91,Harry,8,40,2020-08-19,10:57,741.0,16.600000000000001,97.7,9.2899999999999991,Harry,8,NA,NA
21,light,2020-08-18,11:11,738.6,13.2,94.2,9.59,Hermione,9,40,2020-08-19,11:01,741.0,14.7,86.2,8.5299999999999994,Hermione,9,NA,NA
22,light,2020-08-18,11:11,738.6,13.1,98.7,10.08,Harry,8,40,2020-08-19,11:03,741.0,14.5,105.9,10.52,Harry,9,NA,NA
23,light,2020-08-18,11:17,738.6,13.3,101.7,10.34,Hermione,7,40,2020-08-19,11:06,741.0,14.7,105,10.36,Hermione,8,NA,NA
24,light,2020-08-18,11:17,738.6,13.3,125,12.7,Harry,7,40,2020-08-19,11:07,741.0,14.2,151.4,15.15,Harry,8,NA,NA
25,light,2020-08-18,11:22,738.6,13.8,104.8,10.53,Hermione,8,40,2020-08-19,11:12,741.0,15.2,98.3,9.6199999999999992,Hermione,9,NA,NA
26,light,2020-08-18,11:23,738.6,13.6,96.7,9.76,Harry,9,40,2020-08-19,11:13,741.0,16.7,100.4,9.5,Harry,9,NA,NA
27,light,2020-08-18,11:28,738.6,13.4,109.5,11.11,Hermione,7,40,2020-08-19,11:19,741.0,16.899999999999999,137.6,12.99,Hermione,8,NA,NA
28,light,2020-08-18,11:28,738.6,13.3,99.6,10.1,Harry,7,40,2020-08-19,11:19,741.0,17.8,116.1,10.77,Harry,9,NA,NA
29,light,2020-08-18,11:35,738.6,13.9,108.5,10.89,Hermione,8,40,2020-08-19,11:25,741.0,17.2,126.7,11.86,Hermione,8,NA,NA
30,light,2020-08-18,11:35,738.6,14,117.2,11.74,Harry,8,40,2020-08-19,11:25,741.0,17.600000000000001,157.9,14.68,Harry,9,NA,NA
31,light,2020-08-18,11:40,738.6,13.8,97.8,9.82,Hermione,7,40,2020-08-19,11:33,741.0,16.899999999999999,92.7,8.75,Hermione,7,NA,NA
32,light,2020-08-18,11:40,738.6,13.6,95.3,9.62,Harry,7,40,2020-08-19,11:33,741.0,17.2,95.6,8.9700000000000006,Harry,9,NA,NA
33,light,2020-08-18,11:45,738.6,13.8,99.8,10.03,Hermione,8,40,2020-08-19,11:42,741.0,16.899999999999999,108.7,10.26,Hermione,9,NA,NA
34,light,2020-08-18,11:45,738.6,13.8,94.8,9.54,Harry,9,40,2020-08-19,11:42,741.0,17.3,87.3,8.16,Harry,9,NA,NA
35,light,2020-08-18,11:51,738.6,14.2,98.3,9.77,Hermione,7,40,2020-08-19,11:47,741.0,17,92.7,8.73,Hermione,7,NA,NA
36,light,2020-08-18,11:52,738.6,14.4,93.3,9.27,Harry,9,40,2020-08-19,11:47,741.0,16.8,86.5,8.19,Harry,8,NA,NA
37,light,2020-08-18,15:42,738.6,15.9,105.7,10.15,Hermione,8,40,2020-08-19,11:56,741.0,16.3,128.1,12.22,Hermione,8,NA,NA
38,light,2020-08-18,11:57,738.6,14.1,96.7,9.66,Harry,7,40,2020-08-19,11:51,741.0,16.899999999999999,96.2,9.08,Harry,10,NA,NA
