"Plot Title: fridge North (Jamie)"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517214, SEN S/N: 10517214)","Intensity, Lux (LGR S/N: 10517214, SEN S/N: 10517214)","Coupler Detached (LGR S/N: 10517214)","End Of File (LGR S/N: 10517214)"
1,08/05/20 12:16:20,18.996,0.0,,
2,08/05/20 12:16:27,,,Logged,
3,08/05/20 12:26:20,22.142,419.8,,
4,08/05/20 12:36:20,11.041,419.8,,
5,08/05/20 12:46:20,9.571,419.8,,
6,08/05/20 12:56:20,7.481,419.8,,
7,08/05/20 13:06:20,8.282,430.6,,
8,08/05/20 13:16:20,7.079,430.6,,
9,08/05/20 13:26:20,7.983,419.8,,
10,08/05/20 13:36:20,7.079,419.8,,
11,08/05/20 13:46:20,7.882,430.6,,
12,08/05/20 13:56:20,7.179,419.8,,
13,08/05/20 14:06:20,7.882,419.8,,
14,08/05/20 14:16:20,7.179,430.6,,
15,08/05/20 14:26:20,7.782,430.6,,
16,08/05/20 14:36:20,7.381,419.8,,
17,08/05/20 14:46:20,7.682,419.8,,
18,08/05/20 14:56:20,7.582,419.8,,
19,08/05/20 15:06:20,7.682,430.6,,
20,08/05/20 15:16:20,7.682,419.8,,
21,08/05/20 15:26:20,7.682,430.6,,
22,08/05/20 15:36:20,7.682,419.8,,
23,08/05/20 15:46:20,7.582,430.6,,
24,08/05/20 15:56:20,7.882,419.8,,
25,08/05/20 16:06:20,7.582,430.6,,
26,08/05/20 16:16:20,7.882,419.8,,
27,08/05/20 16:26:20,7.582,430.6,,
28,08/05/20 16:36:20,7.882,419.8,,
29,08/05/20 16:46:20,8.182,592.0,,
30,08/05/20 16:56:20,8.082,592.0,,
31,08/05/20 17:06:20,8.481,602.8,,
32,08/05/20 17:16:20,8.282,516.7,,
33,08/05/20 17:26:20,9.472,559.7,,
34,08/05/20 17:36:20,9.176,559.7,,
35,08/05/20 17:46:20,10.063,559.7,,
36,08/05/20 17:56:20,9.176,559.7,,
37,08/05/20 18:06:20,10.161,559.7,,
38,08/05/20 18:16:20,9.176,559.7,,
39,08/05/20 18:26:20,10.357,559.7,,
40,08/05/20 18:36:20,9.077,559.7,,
41,08/05/20 18:46:20,10.161,559.7,,
42,08/05/20 18:56:20,8.978,559.7,,
43,08/05/20 19:06:20,9.965,559.7,,
44,08/05/20 19:16:20,8.879,559.7,,
45,08/05/20 19:26:20,9.669,559.7,,
46,08/05/20 19:36:20,8.879,559.7,,
47,08/05/20 19:46:20,9.472,559.7,,
48,08/05/20 19:56:20,8.779,559.7,,
49,08/05/20 20:06:20,9.275,559.7,,
50,08/05/20 20:16:20,8.779,559.7,,
51,08/05/20 20:26:20,9.176,559.7,,
52,08/05/20 20:36:20,8.680,559.7,,
53,08/05/20 20:46:20,8.978,559.7,,
54,08/05/20 20:56:20,8.680,559.7,,
55,08/05/20 21:06:20,9.077,559.7,,
56,08/05/20 21:16:20,8.779,559.7,,
57,08/05/20 21:26:20,8.879,559.7,,
58,08/05/20 21:36:20,8.779,559.7,,
59,08/05/20 21:46:20,8.879,559.7,,
60,08/05/20 21:56:20,8.779,559.7,,
61,08/05/20 22:06:20,8.779,559.7,,
62,08/05/20 22:16:20,8.779,559.7,,
63,08/05/20 22:26:20,8.581,559.7,,
64,08/05/20 22:36:20,8.680,559.7,,
65,08/05/20 22:46:20,8.680,559.7,,
66,08/05/20 22:56:20,8.581,559.7,,
67,08/05/20 23:06:20,8.680,559.7,,
68,08/05/20 23:16:20,8.481,570.5,,
69,08/05/20 23:26:20,8.779,559.7,,
70,08/05/20 23:36:20,8.481,559.7,,
71,08/05/20 23:46:20,8.978,559.7,,
72,08/05/20 23:56:20,8.481,559.7,,
73,08/06/20 00:06:20,9.077,559.7,,
74,08/06/20 00:16:20,8.382,570.5,,
75,08/06/20 00:26:20,9.077,559.7,,
76,08/06/20 00:36:20,8.382,570.5,,
77,08/06/20 00:46:20,9.077,559.7,,
78,08/06/20 00:56:20,8.382,570.5,,
79,08/06/20 01:06:20,9.176,559.7,,
80,08/06/20 01:16:20,8.382,559.7,,
81,08/06/20 01:26:20,9.275,559.7,,
82,08/06/20 01:36:20,8.382,570.5,,
83,08/06/20 01:46:20,9.373,559.7,,
84,08/06/20 01:56:20,8.282,570.5,,
85,08/06/20 02:06:20,9.373,559.7,,
86,08/06/20 02:16:20,8.182,570.5,,
87,08/06/20 02:26:20,9.275,559.7,,
88,08/06/20 02:36:20,7.882,559.7,,
89,08/06/20 02:46:20,9.077,559.7,,
90,08/06/20 02:56:20,7.882,570.5,,
91,08/06/20 03:06:20,8.879,559.7,,
92,08/06/20 03:16:20,7.983,570.5,,
93,08/06/20 03:26:20,8.680,570.5,,
94,08/06/20 03:36:20,8.082,559.7,,
95,08/06/20 03:46:20,8.481,570.5,,
96,08/06/20 03:56:20,8.282,559.7,,
97,08/06/20 04:06:20,7.782,0.0,,
98,08/06/20 04:16:20,7.983,0.0,,
99,08/06/20 04:26:20,6.674,0.0,,
100,08/06/20 04:36:20,7.582,0.0,,
101,08/06/20 04:46:20,5.860,0.0,,
102,08/06/20 04:56:20,6.573,0.0,,
103,08/06/20 05:06:20,6.268,0.0,,
