sampledate,Time,hour,temp,lux,time
6/13/13,12:00,12,NA,462.9,12.00
6/13/13,12:15,12,NA,764.2,12.25
6/13/13,12:30,12,NA,37200.2,12.50
6/13/13,12:45,12,NA,38578,12.75
6/13/13,13:00,13,NA,34444.7,13.00
6/13/13,13:15,13,NA,88178.4,13.25
6/13/13,13:30,13,NA,55111.5,13.50
6/13/13,13:45,13,NA,71644.9,13.75
6/13/13,14:00,14,NA,68889.3,14.00
6/13/13,14:15,14,NA,55111.5,14.25
6/13/13,14:30,14,NA,57867,14.50
6/13/13,14:45,14,NA,55111.5,14.75
6/13/13,15:00,15,NA,46844.8,15.00
6/13/13,15:15,15,NA,33066.9,15.25
6/13/13,15:30,15,NA,33066.9,15.50
6/13/13,15:45,15,NA,79911.6,15.75
6/13/13,16:00,16,NA,63378.2,16.00
6/13/13,16:15,16,NA,88178.4,16.25
6/13/13,16:30,16,NA,88178.4,16.50
6/13/13,16:45,16,NA,77156.1,16.75
6/13/13,17:00,17,NA,66133.8,17.00
6/13/13,17:15,17,NA,46844.8,17.25
6/13/13,17:30,17,NA,44089.2,17.50
6/13/13,17:45,17,NA,46844.8,17.75
6/13/13,18:00,18,NA,46844.8,18.00
6/13/13,18:15,18,NA,35822.5,18.25
6/13/13,18:30,18,NA,37200.2,18.50
6/13/13,18:45,18,NA,33066.9,18.75
6/13/13,19:00,19,NA,27555.7,19.00
6/13/13,19:15,19,NA,28933.5,19.25
6/13/13,19:30,19,NA,24800.2,19.50
6/13/13,19:45,19,NA,27555.7,19.75
6/13/13,20:00,20,NA,24800.2,20.00
6/13/13,20:15,20,NA,22044.6,20.25
6/13/13,20:30,20,NA,16533.4,20.50
6/13/13,20:45,20,NA,17911.2,20.75
6/13/13,21:00,21,NA,12400.1,21.00
6/13/13,21:15,21,NA,11022.3,21.25
6/13/13,21:30,21,NA,10333.4,21.50
6/13/13,21:45,21,NA,9644.5,21.75
6/13/13,22:00,22,NA,8611.2,22.00
6/13/13,22:15,22,NA,6544.5,22.25
6/13/13,22:30,22,NA,5166.7,22.50
6/13/13,22:45,22,NA,8611.2,22.75
6/13/13,23:00,23,NA,4650,23.00
6/13/13,23:15,23,NA,3788.9,23.25
6/13/13,23:30,23,NA,3100,23.50
6/13/13,23:45,23,NA,3616.7,23.75
6/14/13,0:00,0,NA,1463.9,0.00
6/14/13,0:15,0,NA,1011.8,0.25
6/14/13,0:30,0,NA,839.6,0.50
6/14/13,0:45,0,NA,742.7,0.75
6/14/13,1:00,1,NA,688.9,1.00
6/14/13,1:15,1,NA,624.3,1.25
6/14/13,1:30,1,NA,753.5,1.50
6/14/13,1:45,1,NA,796.5,1.75
6/14/13,2:00,2,NA,968.8,2.00
6/14/13,2:15,2,NA,1463.9,2.25
6/14/13,2:30,2,NA,1894.5,2.50
6/14/13,2:45,2,NA,2669.5,2.75
6/14/13,3:00,3,NA,8266.7,3.00
6/14/13,3:15,3,NA,4477.8,3.25
6/14/13,3:30,3,NA,4650,3.50
6/14/13,3:45,3,NA,9644.5,3.75
6/14/13,4:00,4,NA,18600.1,4.00
6/14/13,4:15,4,NA,24800.2,4.25
6/14/13,4:30,4,NA,18600.1,4.50
6/14/13,4:45,4,NA,44089.2,4.75
6/14/13,5:00,5,NA,33066.9,5.00
6/14/13,5:15,5,NA,14466.8,5.25
6/14/13,5:30,5,NA,6544.5,5.50
6/14/13,5:45,5,NA,11022.3,5.75
6/14/13,6:00,6,NA,13777.9,6.00
6/14/13,6:15,6,NA,17222.3,6.25
6/14/13,6:30,6,NA,18600.1,6.50
6/14/13,6:45,6,NA,27555.7,6.75
6/14/13,7:00,7,NA,24800.2,7.00
6/14/13,7:15,7,NA,37200.2,7.25
6/14/13,7:30,7,NA,34444.7,7.50
6/14/13,7:45,7,NA,30311.3,7.75
6/14/13,8:00,8,NA,44089.2,8.00
6/14/13,8:15,8,NA,49600.3,8.25
6/14/13,8:30,8,NA,37200.2,8.50
6/14/13,8:45,8,NA,55111.5,8.75
6/14/13,9:00,9,NA,57867,9.00
6/14/13,9:15,9,NA,57867,9.25
6/14/13,9:30,9,NA,71644.9,9.50
6/14/13,9:45,9,NA,88178.4,9.75
6/14/13,10:00,10,NA,77156.1,10.00
6/14/13,10:15,10,NA,88178.4,10.25
6/14/13,10:30,10,NA,85422.8,10.50
6/14/13,10:45,10,NA,126756.4,10.75
6/14/13,11:00,11,NA,242490.5,11.00
6/14/13,11:15,11,NA,209423.6,11.25
6/14/13,11:30,11,NA,143289.8,11.50
6/14/13,11:45,11,NA,242490.5,11.75
6/14/13,12:00,12,NA,154312.1,12.00
6/14/13,12:15,12,NA,187379,12.25
6/14/13,12:30,12,NA,198401.3,12.50
6/14/13,12:45,12,NA,187379,12.75
6/14/13,13:00,13,NA,187379,13.00
6/14/13,13:15,13,NA,137778.7,13.25
6/14/13,13:30,13,NA,79911.6,13.50
6/14/13,13:45,13,NA,99200.7,13.75
6/14/13,14:00,14,NA,126756.4,14.00
6/14/13,14:15,14,NA,104711.8,14.25
6/14/13,14:30,14,NA,57867,14.50
6/14/13,14:45,14,NA,60622.6,14.75
6/14/13,15:00,15,NA,57867,15.00
6/14/13,15:15,15,NA,68889.3,15.25
6/14/13,15:30,15,NA,88178.4,15.50
6/14/13,15:45,15,NA,52355.9,15.75
6/14/13,16:00,16,NA,66133.8,16.00
6/14/13,16:15,16,NA,77156.1,16.25
6/14/13,16:30,16,NA,63378.2,16.50
6/14/13,16:45,16,NA,104711.8,16.75
6/14/13,17:00,17,NA,77156.1,17.00
6/14/13,17:15,17,NA,88178.4,17.25
6/14/13,17:30,17,NA,93689.5,17.50
6/14/13,17:45,17,NA,88178.4,17.75
6/14/13,18:00,18,NA,85422.8,18.00
6/14/13,18:15,18,NA,77156.1,18.25
6/14/13,18:30,18,NA,13777.9,18.50
6/14/13,18:45,18,NA,28933.5,18.75
6/14/13,19:00,19,NA,85422.8,19.00
6/14/13,19:15,19,NA,49600.3,19.25
6/14/13,19:30,19,NA,14466.8,19.50
6/14/13,19:45,19,NA,18600.1,19.75
6/14/13,20:00,20,NA,20666.8,20.00
6/14/13,20:15,20,NA,39955.8,20.25
6/14/13,20:30,20,NA,8266.7,20.50
6/14/13,20:45,20,NA,46844.8,20.75
6/14/13,21:00,21,NA,28933.5,21.00
6/14/13,21:15,21,NA,20666.8,21.25
6/14/13,21:30,21,NA,27555.7,21.50
6/14/13,21:45,21,NA,19289,21.75
6/14/13,22:00,22,NA,18600.1,22.00
6/14/13,22:15,22,NA,4822.3,22.25
6/14/13,22:30,22,NA,3788.9,22.50
6/14/13,22:45,22,NA,5166.7,22.75
6/14/13,23:00,23,NA,6544.5,23.00
6/14/13,23:15,23,NA,8266.7,23.25
6/14/13,23:30,23,NA,3100,23.50
6/14/13,23:45,23,NA,1463.9,23.75
6/15/13,0:00,0,NA,1205.6,0.00
