year,generation,spsum,year_gen,site,trap,setdate,coldate,daysout,fract_count_bg,fract_count_sm,bgch,smch,bgch_tot,smch_tot,set
2008,19,Overwintering,2008_Overwintering,1,1,2008-05-24,2008-06-01,8,1,1,NA,NA,NA,NA,1
2008,19,Overwintering,2008_Overwintering,1,2,2008-05-24,2008-06-01,8,1,1,101,15,101,15,2
2008,19,Overwintering,2008_Overwintering,2,1,2008-05-24,2008-06-01,8,1,1,NA,NA,NA,NA,3
2008,19,Overwintering,2008_Overwintering,2,2,2008-05-24,2008-06-01,8,1,1,19,58,19,58,4
2008,19,Overwintering,2008_Overwintering,3,1,2008-05-24,2008-06-01,8,1,1,127,5,127,5,5
2008,19,Overwintering,2008_Overwintering,3,2,2008-05-24,2008-06-01,8,1,1,106,6,106,6,1
2008,19,Overwintering,2008_Overwintering,4,1,2008-05-24,2008-06-01,8,1,1,119,44,119,44,2
2008,19,Overwintering,2008_Overwintering,4,2,2008-05-24,2008-06-01,8,1,1,30,123,30,123,3
2008,19,Overwintering,2008_Overwintering,5,1,2008-05-24,2008-06-01,8,1,1,72,3945.885006,72,3945.885006,4
2008,19,Overwintering,2008_Overwintering,5,2,2008-05-24,2008-06-01,8,1,1,61,2118.380062,61,2118.380062,5
2008,19,Overwintering,2008_Overwintering,6,1,2008-05-24,2008-06-01,8,1,1,62,4716.272078,62,4716.272078,1
2008,19,Overwintering,2008_Overwintering,6,2,2008-05-24,2008-06-01,8,1,1,128,4396.843292,128,4396.843292,2
2008,19,Overwintering,2008_Overwintering,1,1,2008-06-01,2008-06-10,9,1,1,3,3471.29506,3,3471.29506,3
2008,19,Overwintering,2008_Overwintering,1,2,2008-06-01,2008-06-10,9,1,1,1,4939.919893,1,4939.919893,4
2008,19,Overwintering,2008_Overwintering,2,1,2008-06-01,2008-06-10,9,1,1,34,1773.76926,34,1773.76926,5
2008,19,Overwintering,2008_Overwintering,2,2,2008-06-01,2008-06-10,9,1,1,32,2339.34611,32,2339.34611,1
2008,19,Overwintering,2008_Overwintering,3,1,2008-06-01,2008-06-10,9,1,1,25,476,25,476,2
2008,19,Overwintering,2008_Overwintering,3,2,2008-06-01,2008-06-10,9,1,1,8,1280.707882,8,1280.707882,3
2008,19,Overwintering,2008_Overwintering,4,1,2008-06-01,2008-06-10,9,1,1,7,2066.892146,7,2066.892146,4
2008,19,Overwintering,2008_Overwintering,4,2,2008-06-01,2008-06-10,9,1,1,4,2251.891411,4,2251.891411,5
2008,19,Overwintering,2008_Overwintering,5,1,2008-06-01,2008-06-10,9,1,1,0,466,0,466,1
2008,19,Overwintering,2008_Overwintering,5,2,2008-06-01,2008-06-10,9,1,1,11,1638.481774,11,1638.481774,2
2008,19,Overwintering,2008_Overwintering,6,1,2008-06-01,2008-06-10,9,1,1,NA,NA,NA,NA,3
2008,19,Overwintering,2008_Overwintering,6,2,2008-06-01,2008-06-10,9,1,1,60,1277.715145,60,1277.715145,4
2008,19,Overwintering,2008_Overwintering,1,1,2008-06-10,2008-06-14,4,1,1,0,3482.4001,0,3482.4001,5
2008,19,Overwintering,2008_Overwintering,1,2,2008-06-10,2008-06-14,4,1,1,NA,NA,NA,NA,1
2008,19,Overwintering,2008_Overwintering,2,1,2008-06-10,2008-06-14,4,1,1,0,1585.869974,0,1585.869974,2
2008,19,Overwintering,2008_Overwintering,2,2,2008-06-10,2008-06-14,4,1,1,5,381,5,381,3
2008,19,Overwintering,2008_Overwintering,3,1,2008-06-10,2008-06-14,4,1,1,NA,NA,NA,NA,4
2008,19,Overwintering,2008_Overwintering,3,2,2008-06-10,2008-06-14,4,1,1,1,2501.112595,1,2501.112595,5
2008,19,Overwintering,2008_Overwintering,4,1,2008-06-10,2008-06-20,10,1,1,1,405,1,405,1
2008,19,Overwintering,2008_Overwintering,4,2,2008-06-10,2008-06-20,10,1,1,6,332,6,332,2
2008,19,Overwintering,2008_Overwintering,5,1,2008-06-10,2008-06-20,10,1,1,0,16,0,16,3
2008,19,Overwintering,2008_Overwintering,5,2,2008-06-10,2008-06-20,10,1,1,0,12,0,12,4
2008,19,Overwintering,2008_Overwintering,6,1,2008-06-10,2008-06-20,10,1,1,18,32,18,32,5
2008,19,Overwintering,2008_Overwintering,6,2,2008-06-10,2008-06-20,10,1,1,22,53,22,53,1
2008,19,Overwintering,2008_Overwintering,1,1,2008-06-14,2008-06-20,6,1,1,1,64,1,64,2
2008,19,Overwintering,2008_Overwintering,1,2,2008-06-14,2008-06-20,6,1,1,NA,NA,NA,NA,3
2008,19,Overwintering,2008_Overwintering,2,1,2008-06-14,2008-06-20,6,1,1,2,226,2,226,4
2008,19,Overwintering,2008_Overwintering,2,2,2008-06-14,2008-06-20,6,1,1,1,385,1,385,5
2008,19,Overwintering,2008_Overwintering,3,1,2008-06-14,2008-06-20,6,1,1,3,40,3,40,1
2008,19,Overwintering,2008_Overwintering,3,2,2008-06-14,2008-06-20,6,1,1,0,7,0,7,2
2008,19,Overwintering,2008_Overwintering,1,1,2008-06-20,2008-07-03,13,1,1,0,13,0,13,3
2008,19,Overwintering,2008_Overwintering,1,2,2008-06-20,2008-07-03,13,1,1,0,0,0,0,4
2008,19,Overwintering,2008_Overwintering,2,1,2008-06-20,2008-07-03,13,1,1,0,6,0,6,5
2008,19,Overwintering,2008_Overwintering,2,2,2008-06-20,2008-07-03,13,1,1,1,11,1,11,1
2008,19,Overwintering,2008_Overwintering,3,1,2008-06-20,2008-07-03,13,1,1,0,2,0,2,2
2008,19,Overwintering,2008_Overwintering,3,2,2008-06-20,2008-07-03,13,1,1,0,2,0,2,3
2008,19,Overwintering,2008_Overwintering,4,1,2008-06-20,2008-07-03,13,1,1,0,9,0,9,4
2008,19,Overwintering,2008_Overwintering,4,2,2008-06-20,2008-07-03,13,1,1,0,2,0,2,5
2008,19,Overwintering,2008_Overwintering,5,1,2008-06-20,2008-07-03,13,1,1,0,3,0,3,1
2008,19,Overwintering,2008_Overwintering,5,2,2008-06-20,2008-07-03,13,1,1,0,1,0,1,2
2008,19,Overwintering,2008_Overwintering,6,1,2008-06-20,2008-07-03,13,1,1,0,10,0,10,3
2008,19,Overwintering,2008_Overwintering,6,2,2008-06-20,2008-07-03,13,1,1,5,0,5,0,4
