sampledate,coreid,live_tt,live,dead,flag,comments
2020-08-21,1,8,8,1,0,NA
2020-08-21,3,13,13,1,0,NA
2020-08-21,41,13,13,0,0,NA
2020-08-21,6,6,6,0,0,NA
2020-08-21,7,8,8,0,0,NA
2020-08-21,15,0,0,0,0,NA
2020-08-21,22,0,0,0,0,NA
2020-08-21,23,0,0,0,0,NA
2020-08-21,25,17,17,0,0,NA
2020-08-21,27,11,11,0,0,NA
2020-08-21,29,0,0,0,0,NA
2020-08-21,31,1,1,0,0,NA
2020-08-21,32,8,8,1,0,NA
2020-08-21,33,0,0,0,0,NA
2020-08-21,34,16,16,0,0,NA
2020-08-21,36,9,9,0,0,NA
2020-08-21,38,1,1,0,0,NA
2020-08-21,48,12,12,0,0,NA
2020-08-21,49,0,0,0,0,NA
2020-08-21,51,15,15,0,0,NA
2020-08-21,52,0,0,0,0,NA
2020-08-21,54,2,2,0,0,NA
2020-08-21,55,9,9,0,0,NA
2020-08-21,58,16,16,0,0,NA
2020-08-21,61,9,9,0,0,NA
2020-08-21,62,10,10,0,0,NA
2020-08-21,71,1,1,1,0,NA
2020-08-21,78,12,12,0,0,NA
2020-08-21,79,26,26,1,0,NA
2020-08-21,82,1,1,0,0,NA
2020-08-21,84,10,10,0,0,NA
2020-08-21,85,0,0,0,0,NA
2020-08-21,88,0,0,0,0,NA
2020-08-21,91,0,0,0,0,NA
2020-08-21,92,2,2,0,0,NA
2020-08-21,93,7,7,0,0,NA
2020-08-21,94,0,0,0,0,NA
2020-08-21,95,6,6,0,0,NA
2020-08-21,98,3,3,0,0,NA
2020-08-21,100,6,6,0,0,NA
2020-08-29,2,0,0,0,0,NA
2020-08-29,4,0,0,0,0,NA
2020-08-29,5,1,1,0,0,NA
2020-08-29,8,1,1,0,0,NA
2020-08-29,9,0,0,0,0,NA
2020-08-29,10,3,3,0,0,NA
2020-08-29,11,10,12,0,1,1 tanypodine and 1 chironomus
2020-08-29,12,0,1,0,1,tanypodine
2020-08-29,13,12,12,0,0,NA
2020-08-29,14,14,14,0,0,NA
2020-08-29,16,2,2,0,0,NA
2020-08-29,17,2,2,0,0,NA
2020-08-29,18,14,15,0,0,1 chiro
2020-08-29,19,14,14,0,0,NA
2020-08-29,20,14,14,1,0,NA
2020-08-29,21,8,8,0,0,NA
2020-08-30,24,10,10,0,0,NA
2020-08-30,26,7,7,0,0,NA
2020-08-30,28,18,18,0,0,NA
2020-08-30,30,2,2,0,0,NA
2020-08-30,35,11,11,0,0,NA
2020-08-30,37,13,13,2,0,NA
2020-08-30,39,2,2,0,0,NA
2020-08-30,40,15,15,0,0,NA
2020-08-30,42,12,12,0,0,NA
2020-08-30,43,4,4,0,0,NA
2020-08-30,44,0,0,0,0,NA
2020-08-30,45,3,3,0,0,NA
2020-08-30,46,10,10,1,0,NA
2020-08-30,47,15,15,0,0,NA
2020-08-30,50,2,2,0,0,NA
2020-08-30,53,5,5,0,0,NA
2020-08-30,56,2,2,0,0,NA
2020-08-30,57,13,13,0,0,NA
2020-08-30,59,9,9,0,0,NA
2020-08-30,60,4,4,1,0,NA
2020-08-30,63,19,19,1,0,dead was a female pupa
2020-08-30,64,3,3,0,0,NA
2020-08-30,65,1,1,0,0,NA
2020-08-30,66,2,2,0,0,NA
2020-08-30,67,9,9,0,0,NA
2020-08-30,68,1,1,0,0,NA
2020-08-30,69,11,11,0,0,NA
2020-08-30,70,2,2,0,0,NA
2020-08-30,72,2,2,0,0,NA
2020-08-30,73,15,15,2,0,NA
2020-08-30,74,9,9,0,0,NA
2020-08-30,75,2,2,0,0,NA
2020-08-30,76,8,8,0,0,NA
2020-08-30,77,2,2,0,0,NA
2020-08-30,80,1,1,0,0,NA
2020-08-30,81,2,2,0,0,NA
2020-08-30,83,0,0,0,0,NA
2020-08-30,86,21,21,1,0,NA
2020-08-30,87,14,14,0,0,NA
2020-08-30,89,0,0,0,0,NA
2020-08-30,90,9,9,0,0,NA
2020-08-30,96,1,1,0,0,NA
2020-08-30,97,1,1,0,0,NA
2020-08-30,99,1,1,0,0,NA
