lakeid,sta,sampledate,sampletime,sampledepth,light,wtemp,o2sat,do,ph,secchi_up,secchi_dn,barom_pres,GPScoord_E,GPScoord_N,comments,
myv,33,2013-06-08,14:15,0.00,480.0,14.9,116.90,11.86,9.28,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,0.50,350.0,14.7,117.00,11.88,9.29,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,1.00,245.0,14.5,117.40,11.94,9.29,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,1.50,200.0,14.2,119.70,12.31,9.32,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,2.00,152.0,14.1,119.70,12.32,9.37,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,2.50,121.0,14.1,119.80,12.31,9.36,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-08,14:15,3.00,100.0,14.1,119.60,12.30,9.38,1.70,1.75,735.40,NA,NA,,
myv,33,2013-06-15,10:30,0.00,1200.0,13.3,106.80,11.20,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,0.50,750.0,13.3,107.70,11.28,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,1.00,875.0,13.2,108.00,11.32,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,1.50,600.0,13.2,108.00,11.33,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,2.00,550.0,13.2,108.30,11.36,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,2.50,465.0,13.1,108.70,11.43,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-15,10:30,3.00,380.0,13.2,109.50,11.50,,2.16,2.20,,NA,NA,no barom pressure & pH dead meter,
myv,33,2013-06-22,11:10,0.00,555.0,12.7,107.30,11.38,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,0.50,490.0,12.6,106.80,11.33,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,1.00,389.0,12.6,106.70,11.35,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,1.50,275.0,12.6,107.40,11.42,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,2.00,260.0,12.6,10.60,11.45,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,2.50,215.0,12.6,108.10,11.49,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-22,11:10,3.00,188.0,12.6,108.40,11.52,,2.80,3.00,731.90,NA,NA,dead pH meter,
myv,33,2013-06-29,10:27,0.00,380.0,12.2,107.50,11.52,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,0.50,330.0,12.3,107.80,11.54,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,1.00,500.0,12.3,107.80,11.54,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,1.50,310.0,12.3,107.80,11.53,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,2.00,165.0,12.3,107.60,11.52,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,2.50,220.0,12.3,107.60,11.52,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-06-29,10:27,3.00,40.0,12.3,107.50,11.51,,2.30,2.40,726.50,NA,NA,,
myv,33,2013-07-08,11:56,0.00,190.0,10.7,99.20,11.02,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,0.50,80.0,10.6,99.30,11.05,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,1.00,77.0,10.6,99.30,11.05,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,1.50,37.0,10.6,99.20,11.04,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,2.00,75.0,10.6,99.20,11.04,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,2.50,70.0,10.6,99.10,11.03,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-08,11:56,3.00,63.0,10.6,99.10,11.03,,2.43,2.66,734.50,NA,NA,,
myv,33,2013-07-14,10:33,0.00,315.0,12.9,97.00,10.27,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,0.50,270.0,12.7,97.20,10.31,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,1.00,190.0,12.7,97.20,10.32,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,1.50,167.0,12.6,97.20,10.33,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,2.00,130.0,12.6,97.50,10.37,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,2.50,120.0,12.6,97.70,10.39,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-14,10:33,3.00,98.0,12.6,97.60,10.38,,3.29,3.31,739.8,NA,NA,,
myv,33,2013-07-20,10:33,0.00,550.0,13.9,95.70,9.91,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,0.50,440.0,13.7,95.80,9.94,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,1.00,350.0,13.6,95.70,9.96,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,1.50,250.0,13.5,95.90,9.99,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,2.00,170.0,13.5,95.90,9.99,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,2.50,140.0,13.5,96.10,10.02,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-20,10:33,3.00,120.0,13.4,96.10,10.04,,2.40,2.51,739.8,NA,NA,,
myv,33,2013-07-27,10:25,0.00,960.0,17.9,106.90,10.15,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,0.50,680.0,17.7,107.30,10.22,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,1.00,520.0,17.5,104.00,9.95,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,1.50,370.0,17.4,104.60,10.02,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,2.00,265.0,17.3,104.90,10.11,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,2.50,200.0,17.2,103.40,9.94,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-07-27,10:25,3.00,156.0,17.2,103.20,9.94,,1.60,1.70,729.50,NA,NA,,
myv,33,2013-08-06,07:01,0.00,110.0,8.2,94.30,11.09,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,0.50,72.0,8.3,93.80,11.04,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,1.00,68.0,8.4,93.60,10.98,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,1.50,52.0,8.4,93.40,10.96,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,2.00,43.0,8.4,93.20,10.94,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,2.50,34.0,8.4,93.10,10.91,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-06,07:01,3.00,21.0,8.4,92.80,10.89,,1.50,1.60,736.60,NA,NA,,
myv,33,2013-08-11,09:46,0.00,52.0,10.7,97.30,10.81,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,0.50,45.0,10.8,97.20,10.77,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,1.00,32.0,10.8,97.10,10.76,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,1.50,26.0,10.8,97.00,10.75,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,2.00,22.0,10.8,96.90,10.74,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,2.50,18.0,10.8,96.90,10.73,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-11,09:46,3.00,15.0,10.8,96.40,10.68,,1.40,1.50,731.20,NA,NA,,
myv,33,2013-08-17,10:56,0.00,230.0,11.1,93.80,10.26,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,0.50,150.0,11.3,92.90,10.17,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,1.00,140.0,11.3,92.50,10.13,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,1.50,118.0,11.3,92.30,10.11,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,2.00,100.0,11.3,92.10,10.09,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,2.50,90.0,11.3,92.00,10.08,,1.93,1.96,NA,NA,NA,,
myv,33,2013-08-17,10:56,3.00,75.0,11.3,91.90,10.07,,1.93,1.96,NA,NA,NA,,
myv,33,2014-06-02,13:30,0.00,410.0,13.1,108.80,11.44,8.89,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,0.50,200.0,13.0,108.80,11.47,8.91,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,1.00,196.0,13.0,108.90,11.47,8.91,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,1.50,190.0,13.0,108.90,11.48,8.92,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,2.00,160.0,13.0,108.90,11.48,8.92,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,2.50,129.0,12.9,108.90,11.50,8.93,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-02,13:30,3.00,118.0,13.0,109.40,11.52,8.95,1.60,2.30,730.10,NA,NA,,
myv,33,2014-06-09,10:50,0.00,600.0,15.3,118.50,11.88,9.29,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,0.50,500.0,15.3,118.50,11.87,9.32,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,1.00,430.0,15.2,118.20,11.90,9.36,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,1.50,350.0,15.0,120.50,12.16,9.40,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,2.00,300.0,14.9,121.00,12.23,9.43,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,2.50,240.0,14.9,123.00,12.42,9.44,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-09,10:50,3.00,250.0,14.9,122.80,12.42,9.46,3.15,3.20,733.60,NA,NA,pH taken on Jun10,
myv,33,2014-06-18,12:30,0.00,287.0,16.1,106.90,10.53,9.23,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,0.50,159.0,16.1,107.70,10.60,9.34,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,1.00,155.0,16.1,104.80,10.30,9.40,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,1.50,127.0,16.1,103.50,10.19,9.42,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,2.00,114.0,16.1,103.40,10.19,9.43,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,2.50,111.0,16.1,103.50,10.19,9.44,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-18,12:30,3.00,83.0,16.1,103.80,10.22,9.43,3.30,3.30,741.70,NA,NA,,
myv,33,2014-06-27,11:20,0.00,930.0,16.8,109.00,10.70,9.54,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,0.50,740.0,16.2,105.20,10.33,9.53,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,1.00,590.0,16.0,105.00,10.40,9.51,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,1.50,550.0,15.8,105.80,10.49,9.52,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,2.00,415.0,15.7,106.40,10.57,9.55,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,2.50,350.0,15.7,106.50,10.58,9.55,3.22,3.22,738.20,NA,NA,,
myv,33,2014-06-27,11:20,3.00,315.0,15.7,106.40,10.57,9.54,3.22,3.22,738.20,NA,NA,,
myv,33,2014-07-06,10:05,0.00,75.2,9.9,93.00,10.50,10.01,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,0.50,50.0,9.9,89.00,10.17,9.81,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,1.00,32.9,9.8,88.80,10.07,9.76,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,1.50,20.4,9.8,88.60,10.04,9.63,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,2.00,15.3,9.8,88.40,10.01,9.60,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,2.50,9.8,9.8,88.30,10.01,9.55,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-06,10:05,3.00,5.8,9.8,88.20,10.01,9.50,1.05,1.05,726.20,NA,NA,,
myv,33,2014-07-17,11:01,0.00,1420.0,14.6,103.10,10.50,9.54,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,0.50,1000.0,14.4,103.30,10.55,9.51,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,1.00,690.0,14.4,103.00,10.52,9.47,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,1.50,515.0,14.4,103.10,10.50,9.46,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,2.00,405.0,14.4,103.30,10.58,9.44,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,2.50,282.0,14.3,103.60,10.61,9.43,2.30,2.35,733.80,NA,NA,,
myv,33,2014-07-17,11:01,3.00,219.0,14.3,103.90,10.64,9.42,2.30,2.35,733.80,NA,NA,,
myv,33,2014-08-01,10:00,0.00,352.2,12.4,103.50,11.03,9.80,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,0.50,141.9,12.7,104.20,11.05,9.78,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,1.00,63.4,12.6,104.00,11.07,9.76,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,1.50,23.1,12.5,101.10,10.80,9.72,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,2.00,10.1,12.4,100.50,10.77,9.71,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,2.50,4.6,12.3,98.60,10.57,9.69,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-01,10:00,3.00,2.4,12.3,95.50,10.23,9.67,0.79,0.82,736.50,NA,NA,,
myv,33,2014-08-09,14:50,0.00,425.0,13.5,128.10,13.40,9.84,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,0.50,45.0,13.0,125.90,13.29,9.83,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,1.00,16.0,12.0,98.30,10.62,9.80,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,1.50,12.0,11.8,93.00,10.08,9.76,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,2.00,8.0,11.7,87.40,9.51,9.74,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,2.50,5.0,11.4,86.70,9.58,9.73,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-09,14:50,3.00,4.0,10.4,86.00,9.50,9.68,0.32,0.35,730.70,NA,NA,,
myv,33,2014-08-19,7:30,0.00,114.0,8.8,103.20,11.96,10.12,0.41,0.48,738.30,NA,NA,,
myv,33,2014-08-19,7:30,0.50,13.0,9.1,103.00,11.92,9.95,0.41,0.48,738.30,NA,NA,,
myv,33,2014-08-19,7:30,1.00,2.7,9.2,101.90,11.71,9.87,0.41,0.48,738.30,NA,NA,,
